class10_percentage,class12_percentage,mathematics,physics,chemistry,entrance_score,academic_consistency,achievements_count,certifications_count,extracurricular_score,suitability_score,recommendation_label,category_code
73.07,94.09,100.0,65.99,86.68,98.12,78.98,1,1,73.73,90.74,Highly Recommended,3
72.11,73.43,75.92,89.17,62.09,56.79,98.68,1,2,68.42,67.97,Review Required,1
86.5,90.26,79.61,91.56,86.29,71.93,96.24,1,0,50.44,80.13,Recommended,2
81.57,80.75,72.26,69.46,93.98,92.08,99.18,2,1,67.01,82.18,Recommended,2
71.07,71.96,79.19,64.62,60.66,73.43,99.11,0,1,70.94,71.87,Recommended,2
87.0,91.25,92.62,100.0,78.5,89.5,95.75,2,1,63.34,82.67,Recommended,2
81.07,77.43,92.09,69.75,80.91,91.91,96.36,1,0,46.53,77.6,Recommended,2
86.13,85.43,90.58,73.27,75.25,93.76,99.3,2,0,52.98,84.75,Recommended,2
84.3,84.58,68.4,95.58,76.59,79.54,99.72,2,1,69.41,79.87,Recommended,2
69.71,66.45,80.36,74.9,67.95,71.22,96.74,0,2,83.99,68.25,Review Required,1
72.4,81.62,71.23,72.75,68.84,72.39,90.78,3,1,95.23,77.07,Recommended,2
85.47,81.43,77.23,84.17,72.63,88.76,95.96,0,1,67.24,79.84,Recommended,2
84.1,75.83,79.37,67.82,85.6,83.72,91.72,2,1,59.25,78.67,Recommended,2
77.79,81.75,100.0,93.23,69.51,84.61,96.05,1,1,64.41,85.71,Highly Recommended,3
79.17,71.23,100.0,85.48,59.46,96.48,92.06,1,1,54.3,81.62,Recommended,2
90.78,86.77,91.14,91.06,79.7,84.62,95.99,5,1,81.82,86.4,Highly Recommended,3
72.08,73.39,73.21,79.99,84.22,63.42,98.7,1,2,100.0,70.0,Review Required,1
83.47,90.12,92.93,100.0,86.31,79.11,93.35,1,2,59.61,86.61,Highly Recommended,3
75.98,79.98,88.86,80.98,76.74,70.79,96.0,3,1,52.12,76.32,Recommended,2
75.82,75.88,73.7,66.29,79.04,71.56,99.95,0,1,85.1,71.94,Recommended,2
88.99,91.83,100.0,93.78,71.99,100.0,97.15,1,1,74.77,88.4,Highly Recommended,3
86.25,94.5,93.18,100.0,96.21,80.41,91.75,1,0,75.02,85.88,Highly Recommended,3
86.14,87.76,90.8,76.28,90.51,88.68,98.38,1,1,93.82,83.07,Recommended,2
91.05,86.82,91.78,82.16,81.95,78.56,95.77,2,0,49.5,82.69,Recommended,2
78.21,67.25,74.66,76.24,82.79,68.64,89.04,0,5,49.08,71.76,Recommended,2
84.82,73.85,83.78,76.16,65.94,59.93,89.03,0,1,67.57,71.09,Recommended,2
74.9,72.99,68.57,66.27,87.91,68.97,98.09,2,0,70.95,76.46,Recommended,2
81.24,74.99,70.66,88.71,79.54,70.94,93.75,1,1,64.68,71.63,Recommended,2
76.7,75.19,65.39,100.0,74.77,77.72,98.49,1,0,100.0,77.81,Recommended,2
78.97,78.73,83.44,82.07,80.34,82.55,99.76,2,2,65.35,76.17,Recommended,2
83.95,86.0,92.29,76.16,84.41,71.94,97.95,1,2,61.74,78.44,Recommended,2
69.82,71.31,78.06,59.43,87.69,87.76,98.51,2,2,71.87,72.53,Recommended,2
98.92,96.14,100.0,94.88,81.61,95.98,97.21,0,2,84.56,94.13,Highly Recommended,3
67.94,71.07,73.25,85.79,67.7,75.11,96.87,3,2,59.12,71.58,Recommended,2
65.86,53.3,66.66,67.06,73.6,62.87,87.44,0,0,67.8,54.76,Low Recommendation,0
89.58,78.19,67.73,79.71,74.22,67.15,88.61,3,4,84.99,71.12,Recommended,2
85.92,81.99,77.62,76.5,91.76,81.46,96.07,0,1,85.82,84.1,Recommended,2
84.24,72.29,81.17,64.68,93.15,82.09,88.05,2,0,73.26,76.4,Recommended,2
84.28,86.8,93.59,94.11,82.0,66.19,97.49,1,2,100.0,82.39,Recommended,2
77.88,89.76,84.38,96.97,94.85,78.19,88.12,0,1,99.71,84.6,Recommended,2
69.03,81.07,80.09,66.29,70.59,76.4,87.96,0,0,48.91,73.88,Recommended,2
78.76,76.42,62.14,94.39,86.52,73.5,97.67,0,0,44.62,72.89,Recommended,2
71.23,84.79,80.02,90.09,86.65,95.24,86.44,1,0,81.94,86.02,Highly Recommended,3
87.75,85.62,93.12,98.93,89.95,77.23,97.86,1,0,90.48,80.68,Recommended,2
76.53,73.87,81.16,63.29,70.78,71.04,97.34,0,1,66.63,73.15,Recommended,2
69.75,66.91,75.19,58.18,55.89,65.69,97.17,0,0,62.47,67.82,Review Required,1
74.79,72.93,75.2,74.56,81.63,64.63,98.14,1,1,57.7,69.05,Review Required,1
82.13,77.39,78.11,84.2,58.99,73.03,95.26,0,0,52.48,71.7,Recommended,2
72.36,75.02,69.66,95.48,74.84,82.12,97.35,3,2,87.05,75.93,Recommended,2
69.78,73.13,81.84,83.25,86.14,64.34,96.65,0,0,64.28,75.55,Recommended,2
80.44,79.33,83.71,78.1,82.86,85.35,98.89,1,3,74.53,79.22,Recommended,2
80.45,82.81,87.03,72.7,100.0,62.51,97.64,1,1,42.61,75.56,Recommended,2
72.93,83.58,77.42,95.8,94.08,72.66,89.35,1,0,85.03,78.47,Recommended,2
73.29,81.9,59.89,72.68,76.15,67.76,91.39,3,1,78.82,71.69,Recommended,2
80.32,67.35,81.48,88.43,73.07,94.63,87.02,2,0,49.83,75.46,Recommended,2
63.52,50.0,52.71,57.16,60.53,52.79,86.48,3,2,73.89,51.13,Low Recommendation,0
63.93,75.22,67.79,93.56,62.33,45.79,88.7,2,1,70.07,66.56,Review Required,1
70.82,61.64,73.16,74.93,59.51,44.93,90.82,1,1,63.25,55.87,Review Required,1
75.87,74.31,71.81,75.65,71.92,73.86,98.44,3,0,30.0,72.19,Recommended,2
81.11,70.42,83.41,69.1,54.52,83.9,89.31,0,1,60.1,73.54,Recommended,2
92.75,73.51,81.3,73.05,77.46,81.43,80.76,2,1,74.54,77.37,Recommended,2
86.58,87.94,92.79,90.84,84.31,89.3,98.64,0,0,61.77,84.09,Recommended,2
76.4,82.55,68.26,83.56,66.41,89.27,93.85,2,1,66.67,82.5,Recommended,2
77.81,72.85,86.76,70.06,80.58,72.37,95.04,1,0,92.45,73.6,Recommended,2
67.97,50.0,60.11,58.34,68.16,69.78,82.03,1,4,68.84,66.17,Review Required,1
77.81,73.1,71.13,76.96,78.98,53.11,95.29,0,1,38.55,60.67,Review Required,1
75.11,78.71,80.47,58.81,77.28,67.81,96.4,1,1,67.23,78.07,Recommended,2
81.23,68.03,53.26,77.2,79.17,41.83,86.8,0,5,71.49,58.78,Review Required,1
69.73,73.28,79.04,66.5,83.63,72.63,96.45,1,0,57.62,72.33,Recommended,2
83.19,81.11,70.54,70.25,85.23,75.11,97.92,2,1,81.02,74.39,Recommended,2
93.33,92.96,76.2,73.2,81.97,84.03,99.64,1,1,48.07,78.13,Recommended,2
76.91,77.8,63.12,61.52,82.67,72.11,99.12,0,3,67.93,70.31,Recommended,2
82.02,72.63,85.6,62.28,88.34,67.16,90.61,1,1,47.89,69.26,Review Required,1
84.9,92.0,82.71,82.31,83.6,82.6,92.9,2,0,65.56,83.84,Recommended,2
73.99,73.52,90.48,96.0,97.98,62.63,99.54,0,2,80.62,77.27,Recommended,2
80.24,78.95,73.85,75.01,75.43,92.48,98.71,0,2,67.57,80.45,Recommended,2
78.13,70.22,55.59,75.93,75.08,61.68,92.1,1,1,66.7,65.83,Review Required,1
78.98,74.74,64.89,81.32,71.1,64.98,95.76,1,0,70.42,70.3,Recommended,2
70.27,65.11,81.19,71.89,73.51,92.59,94.84,2,0,71.17,71.34,Recommended,2
78.25,76.39,75.73,77.7,61.52,60.94,98.14,2,1,80.41,65.85,Review Required,1
82.98,94.78,85.6,79.39,85.99,73.65,88.2,1,0,80.5,78.46,Recommended,2
92.51,76.78,79.19,93.26,68.29,64.23,84.27,1,2,91.33,72.22,Recommended,2
87.59,71.41,78.57,93.06,76.91,74.18,83.81,4,0,72.51,69.3,Review Required,1
99.0,99.0,100.0,77.47,100.0,99.78,100.0,3,1,45.09,91.46,Highly Recommended,3
70.33,70.55,87.4,64.15,81.44,87.06,99.77,2,2,82.87,73.99,Recommended,2
86.72,78.35,75.17,77.05,56.56,100.0,91.63,1,0,90.25,83.16,Recommended,2
79.83,87.2,72.14,76.4,100.0,51.74,92.63,0,0,100.0,73.69,Recommended,2
99.0,87.46,81.46,91.28,89.42,89.87,88.46,0,0,91.78,84.69,Recommended,2
69.92,86.55,87.52,78.3,78.09,77.94,83.37,1,0,62.65,74.75,Recommended,2
69.6,77.15,68.22,100.0,81.03,66.11,92.46,2,1,72.81,72.62,Recommended,2
72.01,69.5,62.55,85.56,76.02,60.38,97.49,1,1,65.94,67.28,Review Required,1
56.76,79.99,83.43,83.12,74.73,69.46,76.77,0,0,63.9,76.12,Recommended,2
72.74,69.07,71.32,83.62,75.95,91.37,96.33,3,0,68.3,81.09,Recommended,2
70.41,78.22,79.0,90.81,74.12,87.99,92.19,1,0,89.29,83.51,Recommended,2
79.5,81.05,73.2,76.09,78.07,76.98,98.46,0,0,46.16,75.45,Recommended,2
81.42,90.41,85.5,80.12,81.61,100.0,91.01,0,1,54.96,86.76,Highly Recommended,3
96.76,99.0,85.01,95.08,79.99,70.45,97.76,0,1,88.29,82.35,Recommended,2
87.5,84.51,92.28,92.77,85.92,69.75,97.0,1,1,91.81,83.57,Recommended,2
72.23,67.53,81.0,73.66,78.78,48.28,95.3,2,1,60.11,63.8,Review Required,1
69.02,74.99,57.78,61.72,83.14,59.72,94.02,0,0,94.76,68.38,Review Required,1
82.92,75.62,67.42,69.91,86.62,74.16,92.7,1,1,84.64,71.72,Recommended,2
64.8,84.47,68.38,83.39,87.68,77.37,80.33,2,1,65.98,74.43,Recommended,2
96.31,91.51,82.13,88.3,83.9,86.25,95.2,1,1,33.47,82.51,Recommended,2
89.79,82.93,81.37,100.0,91.79,63.79,93.14,1,2,44.98,74.8,Recommended,2
73.31,75.79,62.35,64.2,64.96,79.89,97.52,0,1,60.13,72.32,Recommended,2
60.87,54.83,51.9,68.44,55.28,60.57,93.96,0,2,81.4,56.36,Review Required,1
91.54,79.3,69.44,95.4,71.28,83.29,87.77,1,2,81.45,78.68,Recommended,2
76.85,86.4,86.87,100.0,96.55,61.6,90.45,0,1,63.0,80.3,Recommended,2
90.38,81.01,81.45,77.66,91.51,83.72,90.63,3,3,66.53,76.13,Recommended,2
62.06,58.06,56.33,70.56,71.36,46.5,96.01,2,1,69.51,51.06,Low Recommendation,0
72.01,77.7,80.04,85.09,90.55,73.33,94.31,2,0,66.72,79.04,Recommended,2
78.05,87.12,79.87,87.94,77.45,88.21,90.93,0,0,72.45,79.42,Recommended,2
78.47,83.68,80.04,82.59,87.39,81.58,94.79,1,1,69.55,79.32,Recommended,2
73.5,82.42,98.55,87.05,81.79,77.17,91.08,3,0,44.89,81.38,Recommended,2
84.23,75.91,90.33,52.81,87.08,81.57,91.68,0,2,66.89,76.04,Recommended,2
67.32,58.75,51.07,72.95,65.8,40.55,91.43,2,2,69.66,53.93,Low Recommendation,0
76.58,88.61,94.76,88.29,83.41,100.0,87.96,1,1,84.85,90.13,Highly Recommended,3
79.2,75.86,85.01,75.88,83.99,76.88,96.66,0,0,57.53,81.59,Recommended,2
83.14,79.19,67.91,100.0,89.61,87.27,96.05,0,1,73.06,84.93,Recommended,2
85.12,93.21,98.09,83.5,83.7,85.2,91.91,0,1,78.44,85.13,Highly Recommended,3
66.75,74.18,91.01,72.89,76.83,74.79,92.58,0,2,67.77,77.41,Recommended,2
62.66,70.51,61.66,94.27,64.36,58.7,92.15,1,1,43.68,66.52,Review Required,1
90.78,99.0,85.07,85.98,69.34,99.14,91.78,2,1,85.15,91.51,Highly Recommended,3
81.32,74.78,86.26,71.84,79.85,70.9,93.45,3,1,81.21,71.92,Recommended,2
70.52,79.78,82.55,79.38,87.34,87.67,90.73,0,0,73.43,81.64,Recommended,2
93.51,88.91,92.2,95.65,90.08,82.86,95.4,4,0,70.6,84.72,Recommended,2
79.16,80.56,83.82,83.47,62.28,57.04,98.6,1,2,43.28,69.35,Review Required,1
89.79,98.08,97.47,80.73,90.19,86.38,91.71,0,2,81.62,87.3,Highly Recommended,3
78.68,82.14,68.34,77.17,60.67,61.04,96.54,1,1,92.3,73.85,Recommended,2
98.61,96.33,100.0,86.36,100.0,93.94,97.72,2,0,53.29,89.25,Highly Recommended,3
95.55,98.47,100.0,93.16,83.1,80.1,97.09,3,4,90.18,87.77,Highly Recommended,3
75.51,72.94,72.41,80.31,89.15,84.25,97.43,1,1,86.97,79.02,Recommended,2
87.72,77.69,77.83,83.56,89.29,76.11,89.97,1,2,52.85,75.42,Recommended,2
84.45,73.76,60.01,58.87,68.15,66.38,89.31,1,1,64.09,66.3,Review Required,1
91.69,71.45,78.73,85.65,64.26,82.94,79.76,1,0,49.07,76.49,Recommended,2
68.35,87.3,91.19,88.63,89.86,97.96,81.06,2,2,69.02,91.55,Highly Recommended,3
84.86,73.58,74.56,90.35,68.59,74.01,88.72,0,2,76.72,68.27,Review Required,1
88.58,83.24,93.67,87.71,84.63,76.51,94.65,3,0,50.19,79.55,Recommended,2
60.41,63.07,63.96,80.17,65.06,44.53,97.34,0,2,75.79,55.5,Review Required,1
66.17,71.78,79.48,79.91,58.0,67.27,94.39,4,1,79.59,69.93,Review Required,1
57.61,69.85,62.19,87.36,52.19,60.41,87.76,1,1,79.8,65.74,Review Required,1
75.31,82.6,81.71,88.04,85.43,82.01,92.71,1,0,76.82,79.75,Recommended,2
85.18,77.96,76.73,78.59,74.4,72.73,92.78,0,2,51.57,70.9,Recommended,2
93.02,86.78,87.34,100.0,80.48,92.9,93.76,2,0,68.18,83.9,Recommended,2
78.74,80.38,76.59,90.16,88.62,70.43,98.36,2,3,75.29,78.63,Recommended,2
94.29,87.01,83.94,91.64,97.9,82.7,92.72,2,2,91.92,88.46,Highly Recommended,3
64.2,80.8,88.86,68.8,79.22,97.07,83.4,1,0,70.04,77.83,Recommended,2
60.97,69.6,67.84,60.84,70.92,74.08,91.36,3,1,76.38,68.72,Review Required,1
77.44,83.09,66.25,86.09,88.5,74.02,94.35,3,2,56.02,78.2,Recommended,2
81.84,85.59,100.0,86.37,71.63,82.01,96.25,2,0,52.68,82.27,Recommended,2
77.67,86.76,98.88,79.59,88.23,81.66,90.91,1,0,50.75,79.63,Recommended,2
57.33,64.58,55.51,71.61,76.43,52.83,92.75,1,0,63.7,58.95,Review Required,1
77.11,66.6,76.85,87.51,79.09,65.89,89.49,1,3,100.0,71.29,Recommended,2
64.96,71.67,68.72,82.12,56.37,80.22,93.29,1,2,63.97,71.82,Recommended,2
84.7,77.08,80.44,67.54,71.8,75.35,92.38,0,1,75.47,74.05,Recommended,2
81.67,75.94,79.9,77.04,69.85,61.14,94.27,3,1,78.36,70.68,Recommended,2
68.6,75.71,74.44,69.95,79.48,96.28,92.89,3,1,53.63,78.11,Recommended,2
72.86,83.91,75.09,79.86,88.87,82.44,88.95,3,2,63.47,81.94,Recommended,2
67.41,70.36,65.86,70.11,89.81,52.6,97.05,0,1,79.37,63.45,Review Required,1
77.37,79.63,70.56,75.97,76.2,69.78,97.74,1,2,76.42,71.08,Recommended,2
87.55,97.9,85.11,80.98,88.6,89.54,89.65,0,1,40.09,92.27,Highly Recommended,3
68.14,72.63,73.8,74.56,87.88,94.02,95.52,0,0,78.92,78.67,Recommended,2
83.04,99.0,87.09,88.69,97.29,76.14,84.04,1,5,61.74,79.29,Recommended,2
72.7,78.41,85.63,50.59,93.0,92.33,94.29,1,1,62.13,82.87,Recommended,2
70.07,57.96,78.35,86.1,69.3,86.32,87.89,1,2,76.07,75.2,Recommended,2
76.93,82.88,76.36,93.9,71.79,71.15,94.05,0,1,92.84,78.44,Recommended,2
67.65,73.4,77.45,72.62,63.58,72.01,94.25,2,1,66.99,73.11,Recommended,2
72.46,84.04,88.03,84.02,68.63,71.39,88.42,1,2,87.69,83.56,Recommended,2
66.02,74.6,80.67,65.5,84.35,74.67,91.42,3,0,48.39,70.37,Recommended,2
97.65,90.25,88.44,100.0,100.0,86.04,92.6,1,0,71.96,87.15,Highly Recommended,3
78.35,68.05,78.47,91.61,91.77,81.52,89.7,2,0,61.88,80.0,Recommended,2
71.0,71.03,78.09,76.29,83.73,87.73,99.97,1,1,74.23,82.56,Recommended,2
80.14,72.29,61.84,85.84,87.79,59.68,92.15,1,1,65.56,66.66,Review Required,1
76.88,72.17,82.82,77.27,70.28,53.39,95.29,1,0,49.88,70.94,Recommended,2
75.79,80.76,89.44,68.17,70.35,82.83,95.03,2,0,56.69,80.24,Recommended,2
84.14,95.26,83.81,87.56,100.0,90.15,88.88,1,0,45.35,90.82,Highly Recommended,3
85.58,86.06,84.92,86.56,89.7,86.39,99.52,1,3,50.4,85.16,Highly Recommended,3
72.69,64.32,75.07,65.48,71.81,66.84,91.62,2,0,77.2,67.3,Review Required,1
72.24,77.13,75.75,76.8,83.32,77.65,95.12,2,2,66.23,81.32,Recommended,2
75.25,85.25,94.67,83.76,88.2,100.0,90.0,0,1,73.46,86.77,Highly Recommended,3
54.98,56.61,86.09,63.82,78.33,76.66,98.37,2,0,97.23,74.06,Recommended,2
62.85,65.92,61.58,71.67,84.78,61.52,96.93,0,1,65.56,69.72,Review Required,1
91.67,87.29,71.65,75.49,91.8,72.57,95.62,0,1,79.51,81.16,Recommended,2
94.45,82.84,85.16,75.81,91.79,80.16,88.39,1,1,70.42,79.5,Recommended,2
75.51,81.04,88.0,68.88,87.25,100.0,94.47,2,1,100.0,86.69,Highly Recommended,3
83.77,80.67,78.19,91.25,77.24,76.34,96.9,1,3,30.0,73.2,Recommended,2
81.11,83.14,96.88,62.14,91.1,86.77,97.98,1,1,59.24,80.76,Recommended,2
99.0,85.2,70.51,96.18,70.99,71.5,86.2,2,0,79.81,78.6,Recommended,2
89.2,81.94,88.38,96.22,93.26,96.32,92.74,0,1,58.71,82.25,Recommended,2
76.72,82.48,75.8,79.72,71.14,100.0,94.24,1,1,78.49,83.42,Recommended,2
68.44,67.93,88.14,46.52,76.05,82.83,99.48,2,2,69.1,77.94,Recommended,2
61.94,80.17,100.0,77.51,73.06,88.06,81.76,3,1,82.97,82.32,Recommended,2
80.03,75.83,69.2,77.44,84.1,73.45,95.79,0,1,53.02,75.01,Recommended,2
70.44,74.1,70.08,66.77,77.05,44.06,96.33,0,3,72.59,64.42,Review Required,1
63.78,75.1,84.92,72.42,62.12,87.95,88.67,1,0,76.99,76.88,Recommended,2
71.53,61.73,62.42,83.51,73.18,66.27,90.19,1,0,71.98,64.66,Review Required,1
67.18,55.94,61.5,70.81,59.26,67.12,88.76,1,0,72.24,61.84,Review Required,1
94.87,77.2,78.16,69.8,88.31,68.61,82.33,0,0,88.04,67.85,Review Required,1
86.82,93.87,71.21,74.73,90.85,76.42,92.94,1,1,44.8,82.09,Recommended,2
77.92,73.13,74.71,72.92,80.68,69.2,95.21,1,2,71.87,71.07,Recommended,2
92.8,99.0,87.35,92.17,84.74,100.0,93.8,1,1,51.86,94.39,Highly Recommended,3
78.77,73.63,70.29,81.5,71.17,68.02,94.85,0,1,81.36,71.91,Recommended,2
69.39,73.05,89.22,70.78,72.09,100.0,96.34,0,1,57.43,80.47,Recommended,2
93.23,99.0,81.68,99.41,100.0,92.44,94.23,2,3,32.91,90.53,Highly Recommended,3
83.39,97.42,100.0,100.0,100.0,78.66,85.97,0,0,81.72,89.05,Highly Recommended,3
67.63,86.83,82.33,93.94,77.99,81.12,80.8,1,2,65.97,85.23,Highly Recommended,3
76.1,85.93,81.65,84.67,96.2,74.22,90.16,2,0,75.35,79.9,Recommended,2
69.24,79.66,87.65,78.93,59.47,55.59,89.58,0,0,91.41,71.43,Recommended,2
64.17,72.66,77.9,72.3,64.47,94.42,91.51,2,1,75.57,75.17,Recommended,2
87.26,90.31,93.44,100.0,78.82,96.94,96.95,1,1,72.54,89.84,Highly Recommended,3
97.09,86.56,94.6,79.32,72.33,93.86,89.46,0,3,69.29,89.31,Highly Recommended,3
64.01,61.26,62.64,68.34,52.82,66.54,97.25,1,0,52.79,63.28,Review Required,1
83.63,81.51,75.01,82.57,86.56,61.03,97.88,2,1,66.77,70.13,Recommended,2
71.49,71.68,62.91,70.16,73.6,63.03,99.81,0,1,99.61,65.54,Review Required,1
73.13,70.56,64.67,60.67,78.78,79.19,97.44,1,0,64.37,68.8,Review Required,1
72.08,79.02,100.0,83.55,87.64,74.0,93.05,1,1,67.66,81.22,Recommended,2
69.36,79.19,91.84,79.83,83.51,53.03,90.17,1,1,88.86,73.96,Recommended,2
78.49,78.65,65.47,85.06,87.06,69.92,99.84,0,1,46.88,63.9,Review Required,1
69.69,83.6,69.48,78.19,83.16,74.53,86.09,0,1,79.3,76.07,Recommended,2
80.7,70.36,77.59,86.46,62.97,75.81,89.66,0,0,46.17,71.65,Recommended,2
77.5,75.7,82.25,69.22,89.05,86.92,98.2,1,2,75.99,76.46,Recommended,2
75.61,70.19,78.13,91.26,68.84,81.98,94.58,0,0,69.66,73.93,Recommended,2
68.92,56.31,59.69,46.94,55.94,64.51,87.39,0,1,79.19,62.04,Review Required,1
72.23,72.9,73.42,80.38,74.79,87.88,99.33,3,1,54.81,77.65,Recommended,2
85.55,81.91,84.71,87.09,73.57,63.42,96.36,1,1,61.97,72.93,Recommended,2
83.01,93.21,90.77,82.29,86.21,94.65,89.8,2,0,79.96,88.53,Highly Recommended,3
68.22,75.8,54.66,82.31,81.99,74.7,92.42,0,0,62.35,70.88,Recommended,2
78.99,70.1,70.28,86.87,78.15,56.28,91.11,0,0,81.33,67.4,Review Required,1
85.51,97.69,84.76,71.22,84.45,69.94,87.82,2,2,73.14,77.85,Recommended,2
61.31,75.68,78.51,83.01,73.59,67.73,85.62,0,3,63.31,70.43,Recommended,2
83.43,86.06,100.0,60.31,96.26,81.49,97.37,2,1,65.27,84.78,Recommended,2
71.37,71.15,77.04,65.15,80.35,83.32,99.78,1,0,70.05,74.13,Recommended,2
83.71,73.92,72.3,93.03,98.02,66.11,90.21,3,0,66.7,70.43,Recommended,2
70.37,69.28,81.18,67.68,85.91,64.91,98.91,2,1,80.95,67.8,Review Required,1
59.95,73.68,80.08,64.83,88.54,69.16,86.28,1,1,64.43,73.03,Recommended,2
61.72,81.28,85.16,79.92,68.39,95.0,80.44,2,1,61.4,81.01,Recommended,2
78.48,90.28,93.78,100.0,96.03,88.78,88.2,1,0,83.65,89.71,Highly Recommended,3
80.6,75.51,97.2,59.54,77.81,81.93,94.91,1,0,63.67,75.3,Recommended,2
68.96,62.31,55.43,58.11,63.86,60.78,93.36,0,1,61.89,57.14,Review Required,1
84.39,83.2,87.13,98.21,85.25,98.64,98.81,1,1,32.72,86.47,Highly Recommended,3
61.38,51.82,49.6,79.85,71.69,46.58,90.44,1,0,54.41,52.83,Low Recommendation,0
77.34,79.72,85.35,79.77,86.22,96.81,97.62,2,1,57.42,85.27,Highly Recommended,3
65.89,67.94,61.77,60.17,64.42,69.41,97.95,0,2,61.9,67.97,Review Required,1
71.48,69.31,67.81,94.47,81.55,67.92,97.83,2,0,59.17,69.11,Review Required,1
78.47,65.17,65.93,86.57,64.94,97.45,86.7,1,1,84.75,77.29,Recommended,2
69.4,75.69,86.52,84.77,80.63,67.22,93.71,1,2,58.37,72.47,Recommended,2
74.15,70.65,82.17,66.33,72.01,71.88,96.49,0,0,59.49,71.92,Recommended,2
88.06,75.28,64.01,77.21,76.0,55.93,87.22,0,2,72.33,67.18,Review Required,1
72.23,50.58,58.49,58.8,69.06,70.06,78.35,0,2,53.47,57.13,Review Required,1
86.36,83.23,75.33,86.57,73.19,98.69,96.87,0,1,93.46,83.39,Recommended,2
66.7,83.87,70.32,98.22,100.0,96.71,82.83,1,0,82.03,86.25,Highly Recommended,3
83.3,94.6,88.78,100.0,73.12,100.0,88.7,0,1,52.48,93.23,Highly Recommended,3
92.42,84.03,79.94,73.05,78.17,78.22,91.62,0,1,85.21,80.78,Recommended,2
53.28,55.48,85.88,77.6,68.43,67.16,97.8,2,0,88.33,63.91,Review Required,1
70.03,75.77,81.16,81.17,84.37,57.72,94.26,1,3,52.87,67.73,Review Required,1
83.77,73.65,61.46,83.43,76.08,93.48,89.88,1,0,52.52,74.9,Recommended,2
75.97,78.59,73.3,94.68,79.87,81.38,97.38,3,0,60.84,76.6,Recommended,2
81.71,86.33,94.96,74.31,89.81,81.61,95.38,2,0,48.77,77.1,Recommended,2
71.96,83.19,100.0,82.87,81.26,100.0,88.77,1,2,58.3,89.23,Highly Recommended,3
78.87,77.4,62.19,73.87,93.57,59.17,98.54,0,2,64.0,67.57,Review Required,1
76.44,74.88,57.36,61.74,86.31,72.78,98.44,0,2,77.56,71.69,Recommended,2
89.68,78.75,97.77,83.59,89.28,83.54,89.07,1,0,71.22,80.39,Recommended,2
80.54,72.77,78.47,100.0,66.82,83.16,92.22,1,0,67.78,76.74,Recommended,2
81.38,78.15,69.93,61.31,79.35,73.47,96.78,1,4,62.75,71.11,Recommended,2
73.88,77.66,83.59,79.04,76.8,62.09,96.23,1,1,50.38,71.13,Recommended,2
73.12,81.5,54.76,88.45,72.36,70.41,91.63,0,2,78.88,70.94,Recommended,2
73.67,68.15,71.14,73.93,76.94,83.3,94.47,1,2,78.54,73.51,Recommended,2
81.94,92.3,92.51,88.48,84.39,88.57,89.64,2,3,60.75,90.79,Highly Recommended,3
73.79,72.48,83.61,62.75,82.84,86.74,98.69,2,0,53.48,77.29,Recommended,2
80.9,79.46,69.45,82.95,70.33,62.02,98.56,2,1,93.34,72.77,Recommended,2
98.75,86.15,85.47,77.74,100.0,83.33,87.4,0,1,73.7,79.05,Recommended,2
86.71,64.3,58.97,48.11,61.76,56.82,77.59,2,2,75.95,60.95,Review Required,1
74.74,82.39,84.35,94.62,85.22,90.66,92.35,0,0,76.6,85.48,Highly Recommended,3
90.01,91.9,79.97,98.92,97.41,84.13,98.11,1,1,51.96,85.78,Highly Recommended,3
73.92,72.49,70.29,76.26,70.59,80.39,98.57,2,0,92.49,75.05,Recommended,2
57.62,63.87,57.94,72.0,78.96,76.78,93.75,3,1,63.95,67.67,Review Required,1
67.92,74.67,82.51,88.01,65.48,86.17,93.25,2,1,82.33,80.37,Recommended,2
59.29,52.0,67.59,63.65,76.88,66.11,92.71,0,0,91.88,65.03,Review Required,1
74.48,70.91,70.83,83.68,75.36,59.72,96.42,0,1,71.22,68.41,Review Required,1
78.18,84.08,83.44,80.88,78.21,81.98,94.1,2,0,52.28,77.2,Recommended,2
94.76,79.3,64.99,93.63,77.93,66.32,84.54,2,1,32.6,68.89,Review Required,1
81.27,82.24,78.68,85.77,91.01,75.24,99.03,1,1,69.42,80.07,Recommended,2
75.81,65.21,68.41,72.59,65.5,63.95,89.4,1,0,73.75,62.68,Review Required,1
86.29,87.14,100.0,73.3,78.76,78.1,99.16,1,0,61.29,81.81,Recommended,2
55.89,61.84,55.26,71.16,66.83,38.35,94.05,0,1,72.04,53.8,Low Recommendation,0
80.36,66.33,84.39,63.11,60.33,67.27,85.97,1,1,76.46,64.84,Review Required,1
85.71,92.31,99.2,83.24,100.0,93.93,93.39,1,1,84.91,92.63,Highly Recommended,3
63.21,61.37,68.84,59.81,63.07,50.91,98.16,1,1,66.57,60.63,Review Required,1
89.44,79.12,96.93,69.72,89.12,85.61,89.69,1,0,69.32,77.27,Recommended,2
81.38,81.57,84.9,100.0,84.57,100.0,99.81,3,0,67.32,88.31,Highly Recommended,3
73.85,83.88,86.8,97.03,74.19,95.55,89.97,1,0,70.5,86.42,Highly Recommended,3
84.33,73.9,74.9,95.94,77.19,94.24,89.58,1,0,62.3,82.08,Recommended,2
99.0,92.79,100.0,77.73,97.94,96.81,93.79,2,1,62.23,90.81,Highly Recommended,3
